,carat,cut,color,clarity,depth,table,price,x,y,z
362,0.51,Premium,E,SI,62.5,57.0,1546,5.09,5.06,3.17
363,1.7,Very Good,H,VS,61.9,60.0,12874,7.57,7.61,4.7
364,1.23,Very Good,G,VVS,61.2,55.8,11081,6.9,6.94,4.23
365,0.34,Premium,G,SI,61.5,56.0,650,4.52,4.45,2.76
366,1.0,Good,F,IF,63.2,63.0,9867,6.24,6.26,3.95
367,1.09,Ideal,G,VVS,61.2,57.0,8295,6.62,6.66,4.06
368,1.12,Very Good,H,SI,62.5,58.0,4373,6.58,6.63,4.13
369,0.46,Good,F,VS,59.2,63.0,1228,5.0,5.03,2.97
370,0.42,Ideal,G,SI,62.9,54.0,945,4.81,4.79,3.02
371,0.38,Ideal,I,VVS,63.4,53.0,809,4.61,4.63,2.93
372,1.42,Good,E,SI,60.1,61.0,8019,7.32,7.42,4.43
373,1.2,Ideal,E,VS,61.3,56.0,10214,6.89,6.84,4.21
374,0.32,Ideal,H,VVS,62.1,54.0,730,4.4,4.42,2.74
375,0.76,Premium,E,VS,60.3,60.0,3107,5.97,5.94,3.59
376,0.51,Very Good,F,VVS,60.3,55.0,2633,5.22,5.26,3.16
377,0.57,Ideal,F,VS,59.2,57.0,1637,5.45,5.5,3.24
378,0.41,Ideal,G,VS,62.1,57.0,1061,4.78,4.72,2.95
379,1.06,Ideal,G,VS,61.2,56.0,7790,6.56,6.62,4.03
380,0.7,Ideal,H,VS,61.8,56.0,2691,5.69,5.72,3.53
381,1.24,Ideal,H,VS,61.4,57.0,5683,6.92,6.88,4.24
382,1.16,Premium,F,SI,62.1,59.0,3787,6.74,6.63,4.15
383,1.51,Premium,H,SI,62.4,58.0,8388,7.36,7.31,4.58
384,0.31,Ideal,I,VS,61.2,55.0,507,4.37,4.39,2.68
385,0.33,Very Good,G,VVS,60.0,63.0,752,4.45,4.49,2.68
386,1.23,Good,G,SI,63.1,56.0,6545,6.78,6.81,4.29
387,1.42,Premium,F,SI,59.7,57.0,7755,7.33,7.3,4.37
388,1.01,Very Good,F,SI,62.7,57.0,5174,6.32,6.38,3.98
389,1.33,Premium,I,VS,61.5,58.0,6963,7.02,7.06,4.33
390,1.68,Ideal,G,VS,62.5,54.0,15740,7.61,7.64,4.76
391,0.33,Ideal,E,VS,60.3,57.0,723,4.51,4.54,2.73
392,0.34,Ideal,E,SI,61.7,56.0,765,4.52,4.49,2.78
393,0.97,Premium,F,SI,59.9,59.0,4726,6.39,6.36,3.82
394,0.51,Ideal,D,SI,62.6,57.0,1619,5.11,5.08,3.19
395,0.4,Very Good,D,VS,63.3,57.0,967,4.66,4.72,2.97
396,0.33,Ideal,E,SI,62.0,54.0,743,4.43,4.41,2.74
397,1.0,Ideal,I,SI,61.8,55.0,4602,6.41,6.44,3.97
398,0.34,Ideal,G,VS,61.8,56.0,596,4.48,4.52,2.78
399,0.47,Ideal,H,IF,61.9,56.0,1865,4.99,5.02,3.1
400,0.8,Very Good,F,SI,63.5,55.0,2914,5.86,5.89,3.73
401,0.32,Premium,E,SI,59.7,60.0,576,4.45,4.43,2.65
402,0.7,Good,F,SI,62.2,59.0,2062,5.62,5.64,3.5
403,0.7,Premium,F,VVS,62.2,56.0,3018,5.72,5.63,3.53
404,0.39,Premium,J,VS,61.3,60.0,581,4.65,4.68,2.86
405,0.9,Premium,D,SI,61.0,59.0,3740,6.18,6.14,3.76
406,1.38,Premium,G,SI,59.2,59.0,6779,7.35,7.29,4.33
407,1.08,Very Good,E,SI,63.0,56.0,5805,6.5,6.52,4.1
408,0.59,Ideal,D,SI,62.5,55.0,1820,5.35,5.4,3.36
409,0.42,Premium,E,SI,62.7,57.0,992,4.83,4.77,3.01
410,0.24,Ideal,F,VVS,62.0,56.0,678,3.99,4.01,2.48
411,2.0,Premium,F,SI,58.8,61.0,17172,8.29,8.23,4.86
412,0.9,Ideal,D,SI,62.4,56.0,4007,6.24,6.16,3.87
413,0.29,Very Good,F,IF,59.9,56.0,815,4.35,4.37,2.61
414,1.2,Very Good,G,VVS,63.3,59.0,8928,6.72,6.64,4.23
415,0.53,Ideal,F,VS,62.1,57.0,1908,5.21,5.16,3.22
416,0.31,Ideal,F,VS,60.8,57.0,583,4.38,4.41,2.67
417,0.77,Premium,E,SI,61.7,61.0,2614,5.93,5.9,3.65
418,0.33,Ideal,I,VVS,62.4,57.0,743,4.44,4.41,2.76
419,0.7,Ideal,F,SI,61.2,56.0,2161,5.72,5.78,3.52
420,0.5,Ideal,D,SI,62.0,54.0,1404,5.09,5.13,3.17
421,0.9,Ideal,J,IF,62.2,57.0,3677,6.17,6.14,3.83
422,1.51,Very Good,I,SI,62.6,60.0,8637,7.27,7.34,4.57
423,1.04,Ideal,F,SI,61.3,55.0,5321,6.51,6.53,4.0
424,0.33,Very Good,F,VVS,62.0,56.0,859,4.41,4.44,2.74
425,0.9,Ideal,H,VS,60.9,57.0,4201,6.2,6.24,3.79
426,1.02,Premium,G,VS,62.0,57.0,5581,6.48,6.43,4.0
427,0.91,Premium,E,VS,60.6,58.0,5101,6.32,6.25,3.81
428,2.5,Ideal,J,SI,60.7,55.0,15990,8.8,8.66,5.3
429,0.7,Premium,D,SI,62.6,58.0,2550,5.67,5.6,3.53
430,0.83,Very Good,D,SI,63.1,57.0,2918,5.95,5.9,3.74
431,0.41,Ideal,G,IF,62.0,55.0,1425,4.8,4.81,2.98
432,1.11,Very Good,E,VVS,60.2,59.0,11330,6.67,6.79,4.05
433,2.03,Premium,D,SI,61.7,58.0,13229,8.14,8.1,5.01
434,0.47,Premium,G,SI,58.5,60.0,1055,5.09,5.06,2.97
435,0.9,Good,E,IF,63.6,56.0,6804,6.11,6.02,3.86
436,0.3,Ideal,H,VS,62.7,55.0,526,4.25,4.3,2.68
437,0.71,Good,H,VVS,60.4,63.0,2738,5.69,5.74,3.45
438,1.78,Very Good,D,SI,63.4,60.0,10730,7.67,7.61,4.85
439,1.56,Ideal,I,SI,62.5,54.0,9788,7.45,7.37,4.63
440,2.01,Premium,I,VS,62.6,59.0,16778,8.04,8.01,5.02
441,0.38,Ideal,E,SI,62.1,54.1,628,4.64,4.69,2.9
442,1.2,Very Good,F,VS,62.4,58.0,7114,6.76,6.8,4.23
443,0.34,Premium,F,SI,59.8,58.0,566,4.53,4.57,2.72
444,0.35,Ideal,G,VS,60.6,56.0,706,4.57,4.6,2.78
445,0.41,Ideal,D,VVS,62.1,56.0,1356,4.78,4.76,2.96
446,0.71,Premium,F,VS,61.9,59.0,2686,5.75,5.72,3.55
447,0.55,Ideal,F,SI,61.8,55.0,1415,5.27,5.22,3.24
448,0.42,Premium,F,VS,61.9,58.0,884,4.76,4.8,2.96
449,1.01,Good,G,SI,63.7,59.0,4060,6.31,6.38,4.04
450,1.01,Very Good,D,IF,61.6,56.0,16087,6.43,6.46,3.97
451,0.52,Premium,F,SI,59.5,59.0,1244,5.24,5.31,3.14
452,1.79,Ideal,I,VS,61.3,57.0,13908,7.86,7.81,4.8
453,1.03,Good,G,SI,63.7,60.0,3929,6.28,6.35,4.02
454,0.56,Premium,D,SI,61.9,58.0,1814,5.33,5.27,3.28
455,0.24,Very Good,F,VVS,59.4,60.0,478,4.04,4.08,2.41
456,0.24,Very Good,E,VVS,61.1,60.0,478,4.01,4.07,2.47
457,0.97,Ideal,G,SI,61.6,56.0,4743,6.31,6.39,3.91
458,0.33,Very Good,H,VS,62.2,57.0,521,4.42,4.46,2.76
459,2.29,Ideal,J,SI,61.8,56.4,13726,8.4,8.5,5.23
460,0.33,Very Good,J,VS,61.5,61.0,434,4.39,4.46,2.72
461,0.4,Very Good,E,SI,60.8,62.0,687,4.72,4.76,2.88
462,0.7,Premium,F,VS,60.7,60.0,2792,5.78,5.75,3.5
463,0.7,Very Good,D,SI,63.7,58.0,2104,5.56,5.62,3.56
464,0.36,Ideal,G,VS,62.9,57.0,932,4.6,4.56,2.88
465,0.38,Ideal,G,VS,62.0,55.0,882,4.64,4.68,2.89
466,0.32,Premium,H,VVS,62.3,58.0,645,4.33,4.37,2.71
467,0.51,Good,E,SI,57.4,62.0,1266,5.24,5.29,3.02
468,1.58,Very Good,H,SI,62.4,57.0,8620,7.36,7.45,4.62
469,0.4,Ideal,G,VS,62.9,55.0,1104,4.76,4.71,2.98
470,0.33,Ideal,E,VS,62.6,57.0,781,4.4,4.42,2.76
471,0.97,Very Good,F,SI,59.6,59.0,3977,6.41,6.47,3.84
472,0.44,Ideal,E,SI,61.1,56.0,1040,4.92,4.9,3.0
473,0.57,Ideal,E,VS,60.4,57.0,1728,5.36,5.4,3.25
474,0.46,Very Good,G,VS,60.0,56.0,1378,5.05,5.1,3.04
475,1.11,Premium,H,SI,61.1,60.0,5433,6.68,6.62,4.06
476,0.51,Premium,G,VS,62.3,58.0,1781,5.13,5.08,3.18
477,1.83,Premium,I,VS,60.5,60.0,10043,7.93,7.86,4.78
478,0.72,Premium,D,SI,61.3,59.0,2155,5.79,5.76,3.54
479,1.56,Ideal,I,VVS,62.0,56.0,10481,7.39,7.42,4.6
480,1.05,Premium,F,VS,61.0,58.0,7879,6.6,6.55,4.01
481,1.03,Premium,H,VS,59.2,58.0,4874,6.66,6.61,3.92
482,0.3,Ideal,F,IF,60.8,56.0,892,4.35,4.36,2.65
483,0.9,Very Good,J,VS,62.6,55.0,3102,6.11,6.13,3.83
484,0.38,Premium,F,VVS,61.6,58.0,1257,4.66,4.63,2.86
485,0.75,Very Good,H,SI,60.4,60.0,2106,5.89,5.93,3.57
486,0.4,Premium,H,VS,62.4,60.0,807,4.69,4.74,2.94
487,0.42,Ideal,G,VS,62.7,54.0,921,4.8,4.83,3.02
488,1.02,Very Good,F,SI,59.6,59.0,3974,6.51,6.54,3.89
489,1.11,Ideal,H,SI,61.3,55.0,4578,6.65,6.73,4.1
490,0.31,Ideal,H,VS,62.1,54.0,698,4.37,4.3,2.69
491,0.31,Ideal,E,VS,62.0,55.0,680,4.33,4.35,2.69
492,0.41,Ideal,D,VS,62.2,54.0,1007,4.77,4.81,2.98
493,1.7,Good,H,VVS,63.1,57.0,14146,7.52,7.61,4.77
494,1.51,Good,G,VVS,63.8,59.0,13155,7.24,7.28,4.63
495,0.31,Premium,G,VVS,62.5,57.0,1046,4.4,4.3,2.72
496,0.52,Ideal,G,VS,61.1,55.0,1689,5.15,5.19,3.16
497,0.36,Ideal,G,VS,61.6,56.0,932,4.59,4.56,2.82
498,0.29,Ideal,G,IF,62.0,56.0,673,4.23,4.27,2.63
499,0.54,Good,G,VS,59.0,62.0,1640,5.3,5.28,3.12
500,0.32,Very Good,F,VS,59.5,61.0,645,4.42,4.46,2.64
501,0.55,Ideal,J,SI,60.9,57.0,1100,5.24,5.3,3.21
502,0.51,Ideal,F,VVS,62.6,57.0,2093,5.1,5.13,3.2
503,1.5,Very Good,F,SI,62.8,56.0,9904,7.26,7.33,4.58
504,0.35,Ideal,I,IF,61.1,56.0,715,4.56,4.6,2.8
505,1.01,Very Good,E,SI,62.9,59.0,4766,6.3,6.38,3.99
506,0.37,Good,I,VS,64.0,56.0,473,4.58,4.45,2.89
507,1.52,Ideal,H,VS,61.8,54.0,11379,7.42,7.43,4.59
508,1.22,Good,I,VS,59.2,61.0,6713,7.01,6.95,4.13
509,0.7,Premium,D,SI,62.1,60.0,2299,5.71,5.73,3.55
510,1.5,Good,G,SI,63.1,57.0,9116,7.25,7.29,4.59
511,0.71,Very Good,F,VS,60.0,57.0,2807,5.84,5.9,3.52
512,0.31,Ideal,I,SI,62.7,56.0,523,4.34,4.3,2.71
513,0.71,Premium,F,SI,63.0,59.0,2381,5.69,5.62,3.56
514,1.51,Premium,G,SI,62.0,58.0,10020,7.31,7.26,4.52
515,1.51,Good,J,VS,62.8,59.0,7418,7.17,7.2,4.51
516,1.64,Ideal,J,VS,62.4,54.5,9251,7.53,7.57,4.71
517,0.55,Ideal,G,VS,61.2,55.0,1833,5.3,5.35,3.26
518,1.21,Ideal,H,VS,62.6,55.0,7562,6.84,6.78,4.26
519,2.01,Very Good,H,SI,63.1,56.0,11825,8.05,8.0,5.06
520,0.52,Premium,F,SI,62.7,57.0,1073,5.11,5.07,3.19
521,0.55,Very Good,I,SI,61.5,60.0,1087,5.23,5.25,3.22
522,0.7,Premium,H,VS,60.7,59.0,2415,5.68,5.66,3.44
523,0.4,Premium,F,VS,62.6,58.0,842,4.68,4.72,2.94
524,0.61,Premium,D,SI,61.6,58.0,1614,5.37,5.34,3.3
525,0.51,Very Good,J,SI,63.3,56.0,1071,5.12,5.02,3.21
526,0.23,Good,E,VVS,59.9,65.0,439,3.93,3.95,2.36
527,1.4,Very Good,G,VS,60.1,62.0,10351,7.16,7.25,4.33
528,0.59,Ideal,G,IF,62.0,54.0,2444,5.38,5.43,3.35
529,1.63,Very Good,G,VS,62.5,57.0,13253,7.46,7.49,4.67
530,1.31,Premium,I,SI,63.0,58.0,5612,6.97,6.93,4.38
531,1.19,Good,G,VVS,61.1,61.0,8995,6.86,6.83,4.18
532,0.33,Premium,D,SI,62.1,58.0,631,4.43,4.4,2.74
533,1.08,Premium,H,SI,62.6,58.0,5078,6.53,6.56,4.1
534,0.7,Ideal,D,SI,61.0,59.0,2804,5.68,5.7,3.47
535,0.71,Very Good,E,VS,61.6,59.0,3464,5.65,5.72,3.5
536,0.3,Very Good,G,VS,62.9,60.0,605,4.26,4.29,2.69
537,1.13,Ideal,F,SI,59.6,57.0,6391,6.83,6.79,4.06
538,1.53,Premium,G,SI,61.7,59.0,9572,7.31,7.4,4.54
539,0.41,Premium,E,VVS,60.9,56.0,1231,4.84,4.78,2.93
540,0.3,Ideal,G,VVS,60.9,56.8,735,4.34,4.38,2.65
541,1.01,Premium,H,SI,62.3,60.0,3782,6.39,6.32,3.96
542,0.73,Ideal,E,SI,61.8,58.0,2805,5.77,5.81,3.58
543,1.09,Ideal,F,SI,61.2,57.0,4891,6.6,6.64,4.05
544,1.51,Very Good,H,SI,60.8,58.0,7723,7.4,7.51,4.53
545,0.8,Premium,E,VVS,62.9,59.0,4229,5.95,5.88,3.72
546,0.91,Ideal,I,VS,62.1,57.0,3906,6.2,6.23,3.86
547,0.7,Premium,F,VVS,62.6,59.0,3105,5.66,5.62,3.53
548,0.32,Ideal,G,IF,60.9,57.0,918,4.41,4.46,2.7
549,1.01,Premium,F,SI,60.6,59.0,5345,6.52,6.49,3.94
550,1.26,Premium,I,SI,60.1,59.0,5151,7.0,6.91,4.18
551,1.5,Ideal,H,VS,62.2,57.0,10886,7.33,7.27,4.54
552,0.33,Premium,E,VS,61.0,60.0,723,4.43,4.46,2.71
553,1.01,Very Good,D,SI,61.5,56.0,4719,6.39,6.46,3.95
554,1.08,Ideal,H,VS,61.9,54.0,5745,6.61,6.64,4.1
555,0.41,Premium,E,VS,60.6,59.0,1079,4.77,4.8,2.9
556,0.32,Very Good,G,VS,58.4,57.0,524,4.51,4.53,2.64
557,0.61,Very Good,G,VS,62.7,57.0,2082,5.36,5.43,3.38
558,1.37,Very Good,G,VS,58.3,60.0,10226,7.3,7.35,4.27
559,0.54,Ideal,E,VVS,61.1,57.0,2375,5.27,5.24,3.21
560,0.57,Ideal,E,VS,61.8,55.0,1851,5.34,5.38,3.31
561,0.32,Ideal,F,VS,61.9,55.0,602,4.41,4.45,2.74
562,0.4,Very Good,F,VVS,63.3,57.0,1224,4.7,4.68,2.97
563,0.7,Premium,I,VS,60.8,59.0,2268,5.71,5.68,3.46
564,1.13,Premium,D,SI,60.9,59.0,5133,6.65,6.72,4.07
565,0.9,Very Good,F,SI,62.7,59.0,3569,6.1,6.18,3.85
566,0.32,Ideal,E,VS,61.5,56.0,716,4.43,4.45,2.73
567,0.23,Very Good,G,VVS,62.8,55.0,431,3.93,3.95,2.47
568,0.9,Very Good,I,VS,62.0,61.0,3880,6.12,6.18,3.81
569,0.52,Ideal,G,SI,62.2,54.0,1319,5.16,5.19,3.22
570,0.31,Ideal,G,IF,61.3,56.0,891,4.38,4.4,2.69
571,0.7,Ideal,D,VS,62.7,57.0,3448,5.65,5.67,3.55
572,0.53,Very Good,F,SI,62.5,57.0,1322,5.19,5.24,3.26
573,0.4,Premium,F,VS,62.6,58.0,1080,4.72,4.68,2.94
574,1.0,Very Good,D,SI,59.2,62.0,5621,6.49,6.54,3.86
575,0.44,Ideal,H,SI,61.9,57.0,941,4.92,4.9,3.04
576,0.34,Premium,G,VVS,59.0,62.0,1071,4.6,4.56,2.7
577,0.36,Premium,G,VS,59.7,56.0,932,4.67,4.64,2.78
578,0.51,Very Good,I,SI,62.5,58.0,1068,5.05,5.12,3.18
579,1.02,Premium,D,SI,60.2,58.0,5257,6.56,6.53,3.94
580,0.35,Very Good,E,VS,61.9,61.0,716,4.5,4.54,2.8
581,0.32,Ideal,G,IF,61.0,57.0,918,4.41,4.44,2.7
582,0.51,Very Good,G,VVS,62.9,57.0,1800,5.08,5.12,3.21
583,1.52,Ideal,G,VS,62.8,54.0,13809,7.3,7.36,4.61
584,1.52,Ideal,H,SI,60.1,60.0,9235,7.5,7.42,4.48
585,1.01,Premium,F,VS,61.3,58.0,6999,6.44,6.52,3.97
586,0.78,Very Good,H,SI,62.6,59.0,2405,5.81,5.85,3.65
587,0.72,Premium,I,VS,60.9,60.0,2333,5.8,5.76,3.52
588,0.38,Ideal,H,VS,62.1,55.4,714,4.63,4.68,2.89
589,0.41,Very Good,H,SI,61.4,60.0,683,4.73,4.78,2.92
590,0.34,Ideal,E,SI,61.7,56.0,596,4.49,4.52,2.78
591,0.3,Premium,G,SI,59.8,57.0,574,4.37,4.32,2.6
592,0.76,Ideal,I,VS,61.8,58.0,2551,5.84,5.87,3.62
593,0.53,Ideal,D,VS,61.4,56.0,1659,5.18,5.21,3.19
594,1.02,Ideal,G,SI,62.4,56.0,4044,6.42,6.37,3.99
595,1.35,Premium,J,SI,61.1,61.0,5715,7.13,7.1,4.35
596,0.36,Ideal,D,SI,61.6,56.0,801,4.59,4.6,2.83
597,1.16,Ideal,I,VS,60.8,56.0,5587,6.85,6.81,4.15
598,1.02,Premium,G,SI,61.9,58.0,4381,6.47,6.42,3.99
599,0.92,Very Good,E,SI,62.1,58.0,4562,6.15,6.22,3.84
600,0.9,Very Good,H,SI,59.6,59.0,3250,6.38,6.24,3.76
601,0.6,Ideal,E,VS,60.6,56.0,2141,5.47,5.52,3.33
602,2.0,Good,I,VS,63.3,56.0,16544,7.98,8.03,5.07
603,0.55,Very Good,F,SI,60.7,57.0,1316,5.27,5.3,3.21
604,0.7,Premium,F,SI,58.6,59.0,2657,5.83,5.78,3.4
605,0.72,Very Good,J,SI,60.1,58.0,1788,5.79,5.82,3.49
606,0.57,Ideal,G,VVS,60.7,55.0,2206,5.36,5.34,3.25
607,0.38,Ideal,E,VVS,62.4,56.0,1027,4.63,4.69,2.91
608,0.35,Very Good,D,SI,63.3,55.0,669,4.49,4.45,2.83
609,0.76,Good,I,SI,64.1,59.0,2016,5.75,5.73,3.68
610,0.33,Premium,I,VS,61.6,60.0,668,4.45,4.42,2.73
611,0.4,Ideal,F,VVS,61.3,56.0,1263,4.73,4.76,2.91
612,0.36,Very Good,E,VS,61.3,60.0,789,4.55,4.59,2.8
613,0.25,Ideal,F,VS,61.1,58.0,595,4.04,4.08,2.48
614,0.3,Very Good,G,VS,63.5,58.0,725,4.26,4.21,2.69
615,1.25,Very Good,G,VVS,60.2,58.0,11589,6.97,7.04,4.22
616,0.7,Very Good,F,VS,62.0,57.0,2808,5.64,5.71,3.52
617,1.04,Premium,E,SI,61.6,59.0,3392,6.51,6.47,4.0
618,0.34,Very Good,E,SI,63.5,55.0,714,4.47,4.44,2.83
619,0.43,Premium,E,VVS,59.5,58.0,1433,4.92,4.96,2.94
620,0.48,Good,J,SI,64.4,58.0,991,4.87,4.92,3.15
621,1.09,Ideal,I,SI,59.4,61.0,4692,6.68,6.73,3.98
622,1.05,Premium,G,VS,61.8,58.0,6070,6.52,6.59,4.05
623,0.71,Premium,G,SI,60.8,59.0,2913,5.7,5.74,3.48
624,0.32,Very Good,G,VS,61.2,62.0,602,4.41,4.45,2.71
625,0.5,Very Good,E,SI,62.6,56.0,1222,5.06,5.07,3.17
626,0.27,Ideal,I,VS,62.1,56.0,534,4.14,4.18,2.58
627,1.2,Ideal,H,SI,61.0,57.0,5610,6.84,6.9,4.19
628,0.75,Ideal,E,SI,62.0,57.0,2821,5.8,5.78,3.59
629,0.3,Ideal,D,VS,61.5,58.0,670,4.27,4.31,2.64
630,0.56,Ideal,H,VVS,62.1,57.0,1745,5.26,5.3,3.27
631,0.91,Good,I,SI,60.2,59.0,3034,6.24,6.29,3.77
632,1.04,Ideal,G,VVS,61.4,57.0,6173,6.52,6.44,3.98
633,1.2,Good,I,SI,64.4,61.0,5458,6.52,6.59,4.22
634,0.32,Ideal,H,VVS,61.9,56.0,730,4.38,4.41,2.72
635,0.31,Ideal,F,VVS,62.4,55.0,828,4.33,4.36,2.71
636,0.33,Premium,D,SI,60.3,58.0,608,4.47,4.49,2.7
637,1.23,Ideal,F,VS,61.7,57.0,9376,6.9,6.94,4.27
638,0.53,Very Good,I,VS,61.0,57.0,1393,5.22,5.25,3.19
639,0.78,Ideal,D,VS,62.2,57.0,4350,5.86,5.9,3.66
640,0.72,Very Good,D,VS,62.7,58.0,2951,5.65,5.68,3.55
641,0.31,Good,D,SI,63.1,57.0,571,4.3,4.32,2.72
642,1.24,Ideal,G,VVS,61.2,56.0,9362,6.88,6.92,4.22
643,0.5,Ideal,F,VS,61.4,58.0,1601,5.07,5.12,3.13
644,0.31,Very Good,F,SI,58.8,59.0,459,4.44,4.5,2.63
645,0.51,Ideal,E,VS,61.8,56.0,1851,5.17,5.19,3.2
646,0.32,Ideal,F,VVS,61.8,55.0,990,4.41,4.36,2.71
647,0.34,Ideal,E,VVS,62.2,56.0,1014,4.44,4.46,2.77
648,1.01,Good,G,SI,63.7,58.0,3626,6.31,6.35,4.03
649,1.25,Ideal,H,VS,61.1,55.0,8498,6.94,6.97,4.25
650,0.59,Very Good,F,SI,63.0,56.0,1424,5.3,5.34,3.35
651,0.39,Very Good,J,VVS,57.8,59.0,767,4.85,4.9,2.82
652,0.81,Very Good,I,SI,60.3,58.0,2701,6.0,6.04,3.63
653,0.91,Good,G,SI,63.2,61.0,3340,6.01,6.27,3.88
654,0.32,Premium,E,SI,61.2,58.0,449,4.39,4.44,2.7
655,0.8,Very Good,J,VS,63.4,56.0,2321,5.9,5.87,3.73
656,1.11,Ideal,I,SI,61.9,55.0,5329,6.65,6.66,4.12
657,0.72,Ideal,F,VVS,61.2,56.0,3816,5.78,5.81,3.55
658,0.32,Ideal,H,SI,61.2,56.0,430,4.43,4.46,2.72
659,0.5,Premium,E,SI,59.5,59.0,1154,5.16,5.19,3.08
660,1.02,Very Good,D,SI,62.7,60.0,5709,6.34,6.39,3.99
661,0.4,Ideal,D,VS,60.4,56.0,1050,4.77,4.73,2.87
662,0.3,Ideal,E,VS,61.9,56.0,670,4.28,4.31,2.66
663,0.41,Very Good,F,VS,63.0,57.0,931,4.66,4.7,2.95
664,1.01,Ideal,G,VS,61.8,57.0,6504,6.43,6.41,3.97
665,0.96,Very Good,H,SI,63.1,58.0,4064,6.2,6.25,3.93
666,1.13,Premium,J,SI,61.3,59.0,4214,6.77,6.67,4.12
667,0.72,Ideal,J,SI,61.7,56.0,1853,5.77,5.81,3.57
668,1.08,Premium,F,SI,60.2,59.0,4407,6.6,6.65,3.99
669,0.32,Premium,F,VS,59.7,59.0,828,4.44,4.41,2.64
670,2.05,Very Good,H,SI,62.4,58.0,15949,8.1,8.15,5.07
671,0.31,Ideal,D,VS,59.0,57.0,942,4.48,4.44,2.63
672,0.34,Ideal,E,SI,61.4,54.0,765,4.53,4.5,2.77
673,0.55,Premium,F,SI,61.9,59.0,1617,5.29,5.24,3.26
674,0.51,Ideal,D,VS,61.8,55.0,1787,5.1,5.16,3.17
675,0.77,Premium,F,SI,60.8,59.0,2856,5.92,5.86,3.58
676,1.02,Very Good,D,VS,59.8,61.0,6785,6.54,6.61,3.93
677,0.51,Very Good,F,SI,63.1,54.0,1312,5.12,5.06,3.21
678,0.44,Premium,G,SI,61.9,58.0,990,4.87,4.83,3.0
679,0.3,Very Good,H,VS,60.9,61.0,473,4.32,4.35,2.64
680,1.04,Ideal,J,VS,61.3,54.0,4550,6.53,6.55,4.01
681,0.51,Very Good,D,VS,62.9,56.0,1597,5.07,5.1,3.2
682,0.3,Ideal,D,SI,62.0,56.0,709,4.34,4.3,2.68
683,0.6,Ideal,H,VS,62.0,53.0,1772,5.44,5.46,3.38
684,0.9,Premium,F,VS,62.7,58.0,5000,6.17,6.14,3.86
685,1.2,Ideal,F,VS,62.3,55.0,8334,6.79,6.83,4.24
686,0.42,Premium,H,VVS,62.4,57.0,984,4.83,4.78,3.0
687,0.41,Ideal,H,SI,62.4,53.0,722,4.78,4.81,2.99
688,1.04,Very Good,I,SI,62.0,57.0,4290,6.47,6.5,4.02
689,1.21,Ideal,E,VS,61.7,56.0,12111,6.82,6.85,4.22
690,0.53,Ideal,E,VS,61.4,56.0,1721,5.21,5.24,3.21
691,1.08,Ideal,E,SI,62.6,57.0,5189,6.56,6.53,4.1
692,0.71,Ideal,I,VVS,61.6,56.0,2145,5.72,5.8,3.56
693,0.38,Good,H,VVS,63.3,58.0,967,4.57,4.62,2.91
694,0.9,Very Good,G,SI,63.2,59.0,3669,6.1,6.05,3.84
695,0.52,Ideal,G,VVS,62.3,55.0,2012,5.16,5.12,3.2
696,0.67,Premium,H,VVS,60.6,61.0,2171,5.65,5.61,3.41
697,0.42,Ideal,D,VS,62.4,55.0,1103,4.82,4.8,3.0
698,0.25,Ideal,G,VS,62.5,55.0,454,4.0,4.02,2.51
699,0.3,Premium,G,VVS,62.3,59.0,878,4.29,4.25,2.66
700,0.3,Premium,I,SI,61.6,62.0,506,4.3,4.27,2.64
701,2.05,Ideal,F,SI,62.0,56.0,17957,8.12,8.19,5.06
702,0.38,Ideal,F,SI,61.3,55.0,568,4.67,4.69,2.87
703,1.29,Very Good,J,SI,61.2,58.0,5209,6.97,7.02,4.28
704,0.31,Very Good,H,VVS,62.6,58.0,625,4.28,4.31,2.69
705,0.4,Very Good,D,VS,62.9,55.0,1004,4.73,4.77,2.99
706,2.04,Good,H,SI,58.4,60.0,18026,8.31,8.36,4.87
707,0.74,Ideal,G,VS,61.8,55.0,2960,5.85,5.8,3.6
708,0.7,Very Good,G,VVS,63.3,59.0,2905,5.59,5.62,3.55
709,0.31,Ideal,G,SI,62.2,55.0,593,4.38,4.36,2.72
710,1.21,Good,H,SI,63.8,64.0,5407,6.72,6.63,4.26
711,0.52,Ideal,E,VS,62.1,57.0,1617,5.22,5.19,3.23
712,0.31,Ideal,H,VS,62.0,53.0,562,4.34,4.37,2.7
713,0.74,Very Good,G,SI,62.8,59.0,2262,5.71,5.76,3.6
714,1.19,Ideal,G,VS,61.9,55.0,8034,6.81,6.87,4.22
715,1.09,Premium,H,VS,61.4,58.0,5677,6.64,6.58,4.06
716,0.57,Very Good,E,VS,63.0,59.0,1654,5.25,5.29,3.32
717,0.31,Premium,H,VVS,62.1,58.0,707,4.33,4.36,2.7
718,1.16,Premium,I,SI,62.1,58.0,4326,6.78,6.71,4.19
719,0.43,Very Good,E,SI,63.4,57.0,948,4.84,4.81,3.06
720,0.4,Very Good,F,SI,62.1,57.0,687,4.65,4.69,2.9
721,0.34,Very Good,E,VS,62.6,58.0,745,4.43,4.45,2.78
722,1.03,Premium,H,VS,62.4,60.0,5883,6.48,6.43,4.03
723,0.51,Ideal,F,VVS,62.2,55.0,1998,5.12,5.11,3.18
724,0.32,Good,D,SI,63.1,57.0,589,4.37,4.38,2.76
